Comparações_AVL	Tamanho_AVL	Comparações_ABB	Tamanho_ABB
13	5584	15	5584
16	18787	20	18787
18	64577	26	64577
13	15997	25	15997
18	61352	24	61352
11	1598	10	1598
15	46034	27	46034
16	24937	26	24937
15	43342	11	43342
15	19290	28	19290
16	21923	23	21923
14	31691	18	31691
17	18447	25	18447
15	56055	32	56055
16	62644	25	62644
16	51165	21	51165
16	41090	24	41090
12	2511	10	2511
10	15960	13	15960
16	32343	14	32343
12	940	9	940
12	4206	16	4206
17	19920	18	19920
15	26898	22	26898
15	38970	23	38970
14	7013	20	7013
16	35418	21	35418
15	23522	19	23522
15	43226	16	43226
17	36297	16	36297
16	40930	24	40930
17	25162	23	25162
15	55083	30	55083
16	35506	26	35506
17	41158	20	41158
15	22786	29	22786
17	13456	17	13456
16	63543	18	63543
16	47723	17	47723
17	56797	17	56797
14	12832	15	12832
16	45997	23	45997
15	64840	18	64840
16	7630	13	7630
15	32052	27	32052
14	33835	20	33835
17	35146	24	35146
19	49493	19	49493
15	12697	19	12697
18	51105	22	51105
11	11835	13	11835
16	13636	29	13636
15	31662	24	31662
14	8106	15	8106
14	16885	19	16885
18	46984	27	46984
15	15119	21	15119
17	28655	21	28655
12	505	13	505
16	34696	21	34696
18	64951	24	64951
15	17786	20	17786
17	59857	15	59857
13	26386	21	26386
16	53292	17	53292
18	31014	25	31014
15	49171	31	49171
17	66747	25	66747
8	909	12	909
14	3245	18	3245
15	29895	16	29895
16	60092	26	60092
17	49242	28	49242
17	1086	15	1086
17	44074	17	44074
15	57645	28	57645
16	34920	26	34920
15	9219	14	9219
16	37137	15	37137
15	47616	22	47616
15	36676	20	36676
14	25323	27	25323
15	37604	21	37604
16	68337	21	68337
15	33428	18	33428
14	30840	18	30840
15	21672	17	21672
17	48546	25	48546
18	59494	25	59494
12	22176	18	22176
15	13242	15	13242
18	54445	20	54445
16	39962	27	39962
16	49450	14	49450
17	57182	24	57182
16	69605	21	69605
14	56816	21	56816
17	36352	27	36352
15	42703	17	42703
17	57724	17	57724
16	39597	21	39597
16	48949	24	48949
15	47815	20	47815
17	65190	24	65190
17	50035	25	50035
16	21888	21	21888
15	52834	16	52834
16	61306	31	61306
15	7459	18	7459
14	19970	24	19970
12	15274	15	15274
12	44134	20	44134
17	45292	17	45292
16	52877	19	52877
17	18822	19	18822
17	55071	20	55071
15	60068	14	60068
15	16846	20	16846
16	9969	15	9969
18	49562	21	49562
16	15373	19	15373
18	69562	24	69562
17	10358	17	10358
16	31686	19	31686
16	49011	24	49011
16	43891	16	43891
15	31290	24	31290
15	35826	22	35826
15	56594	23	56594
16	50344	17	50344
15	69901	16	69901
16	2542	15	2542
15	29293	23	29293
16	47716	23	47716
16	67731	20	67731
16	55679	22	55679
17	45955	23	45955
17	50564	16	50564
16	29765	17	29765
16	46885	24	46885
16	62257	28	62257
12	3898	24	3898
18	68528	27	68528
15	21485	19	21485
18	69072	21	69072
17	53599	26	53599
16	57905	26	57905
16	15917	25	15917
16	39919	16	39919
14	13818	23	13818
16	31289	23	31289
15	39480	15	39480
14	24175	17	24175
18	62975	26	62975
17	64842	26	64842
18	44417	17	44417
12	616	10	616
16	30668	19	30668
14	31010	20	31010
16	27312	21	27312
17	30568	20	30568
15	33552	19	33552
16	56604	19	56604
17	54635	18	54635
14	31282	17	31282
16	18634	18	18634
14	6942	19	6942
16	58198	20	58198
16	65617	25	65617
14	36706	16	36706
16	11434	19	11434
16	34226	19	34226
14	16956	20	16956
12	9962	14	9962
16	32062	18	32062
13	16027	22	16027
17	39912	20	39912
16	19966	21	19966
13	8295	19	8295
14	9830	25	9830
15	33783	27	33783
13	15935	17	15935
17	25661	18	25661
16	34309	20	34309
15	55261	20	55261
14	20502	23	20502
13	8725	14	8725
14	32229	21	32229
15	51169	28	51169
17	39735	27	39735
17	59540	16	59540
17	58089	18	58089
17	49638	14	49638
16	22495	20	22495
15	19075	19	19075
13	10919	12	10919
15	41128	21	41128
13	26016	13	26016
14	45468	20	45468
16	13096	13	13096
17	62722	18	62722
16	56902	21	56902
14	23673	19	23673
16	9677	20	9677
16	66863	22	66863
16	32087	13	32087
10	2055	23	2055
15	13126	14	13126
14	28404	25	28404
17	56701	24	56701
15	22955	21	22955
15	38539	23	38539
17	48987	27	48987
15	24967	21	24967
16	2847	23	2847
16	10600	15	10600
17	57924	19	57924
16	42828	19	42828
16	2989	10	2989
13	4010	13	4010
15	8719	18	8719
17	61077	20	61077
16	53647	19	53647
15	31213	22	31213
16	56503	20	56503
17	40917	15	40917
18	48692	24	48692
16	12519	17	12519
15	16385	20	16385
18	61787	20	61787
18	51592	25	51592
11	3286	6	3286
14	61812	27	61812
15	37620	23	37620
16	46500	31	46500
16	23898	17	23898
14	39674	16	39674
17	59625	24	59625
15	52301	20	52301
16	2726	15	2726
18	58931	27	58931
16	20839	19	20839
16	51712	27	51712
14	13897	14	13897
8	38	8	38
16	62311	22	62311
17	35716	22	35716
16	34313	13	34313
14	11490	21	11490
16	38704	26	38704
14	14674	23	14674
14	20208	14	20208
16	29780	22	29780
15	68320	18	68320
16	27772	21	27772
15	62635	24	62635
16	15588	18	15588
17	6463	20	6463
13	5153	14	5153
14	31972	16	31972
14	44602	24	44602
15	56744	22	56744
14	11609	20	11609
16	36413	18	36413
13	24363	26	24363
17	58108	18	58108
14	60310	24	60310
15	40388	19	40388
17	24084	21	24084
15	18962	19	18962
17	19465	16	19465
16	59366	17	59366
14	16153	24	16153
16	47528	20	47528
18	49614	22	49614
16	16190	18	16190
16	16191	22	16191
14	15330	16	15330
15	26854	23	26854
13	27680	12	27680
14	54033	22	54033
16	41527	28	41527
16	24240	19	24240
15	60165	23	60165
17	16198	19	16198
16	52011	30	52011
16	52799	17	52799
16	31785	25	31785
16	58474	27	58474
15	34303	21	34303
16	40109	18	40109
17	33075	27	33075
17	21046	20	21046
14	28069	18	28069
18	69487	13	69487
18	21760	21	21760
15	62529	30	62529
17	36148	19	36148
17	38499	19	38499
14	16612	21	16612
15	31461	20	31461
18	34315	18	34315
17	52330	23	52330
16	47613	29	47613
16	11842	20	11842
17	31943	17	31943
14	40154	20	40154
17	28032	27	28032
15	23624	15	23624
15	43359	26	43359
18	55712	15	55712
13	7657	24	7657
16	14885	23	14885
14	9951	17	9951
15	67821	20	67821
12	7434	23	7434
15	38313	14	38313
18	26971	19	26971
14	15571	19	15571
15	26786	17	26786
16	61273	20	61273
15	32031	19	32031
13	36212	25	36212
18	58670	24	58670
18	60099	25	60099
15	12050	24	12050
16	56781	24	56781
17	52627	25	52627
16	24549	18	24549
14	25279	15	25279
17	45591	28	45591
14	56010	18	56010
16	59593	17	59593
11	4272	19	4272
17	33622	20	33622
15	47786	20	47786
15	36214	27	36214
15	50128	17	50128
14	5818	16	5818
15	59838	21	59838
15	23486	21	23486
16	61529	24	61529
17	43846	18	43846
13	14723	20	14723
16	47831	18	47831
15	18018	17	18018
16	22156	14	22156
16	16143	22	16143
18	44988	25	44988
14	14078	18	14078
13	19281	24	19281
14	12612	19	12612
15	46108	18	46108
17	55492	30	55492
17	1281	15	1281
16	36207	22	36207
16	43894	21	43894
17	58061	26	58061
17	65185	18	65185
17	68442	27	68442
17	59691	22	59691
16	40775	29	40775
16	54451	22	54451
18	25635	19	25635
18	45046	22	45046
18	64425	22	64425
13	3420	11	3420
16	57612	27	57612
15	20904	24	20904
13	9237	18	9237
14	23801	21	23801
16	44389	18	44389
15	47117	17	47117
17	43998	20	43998
16	59111	28	59111
14	1299	13	1299
16	62015	25	62015
16	57619	17	57619
15	63794	21	63794
14	13354	25	13354
13	1696	13	1696
17	59426	17	59426
15	25965	23	25965
17	47804	22	47804
16	21269	21	21269
16	3597	23	3597
17	60362	19	60362
17	65162	15	65162
11	38009	18	38009
16	55546	21	55546
16	63604	25	63604
15	27699	16	27699
13	2673	15	2673
16	24406	20	24406
16	29685	21	29685
15	24070	18	24070
16	18830	22	18830
17	33104	15	33104
17	58033	21	58033
16	39733	21	39733
13	18693	20	18693
15	11833	15	11833
17	60474	22	60474
15	42161	26	42161
18	55830	20	55830
17	25936	23	25936
14	19812	20	19812
18	24196	28	24196
17	13554	15	13554
17	59957	20	59957
16	13901	20	13901
17	61602	24	61602
15	49382	25	49382
15	16217	16	16217
16	15757	22	15757
12	650	12	650
16	19813	15	19813
18	52470	24	52470
15	65812	26	65812
17	57821	25	57821
16	38015	21	38015
16	35767	25	35767
15	15519	17	15519
16	17039	22	17039
16	60172	24	60172
16	21555	23	21555
16	17461	21	17461
16	9002	13	9002
16	31011	18	31011
17	5493	23	5493
17	25086	18	25086
14	49703	17	49703
16	63678	19	63678
17	61911	24	61911
16	68215	19	68215
15	25859	24	25859
16	17847	19	17847
17	18026	24	18026
18	50055	24	50055
15	7752	29	7752
13	7982	17	7982
17	40307	23	40307
17	69353	18	69353
16	33715	19	33715
16	56524	17	56524
17	61461	20	61461
17	34365	25	34365
17	6336	11	6336
16	43930	21	43930
16	6528	17	6528
17	64157	21	64157
16	58297	24	58297
16	18646	17	18646
16	56027	25	56027
15	5335	14	5335
17	8817	23	8817
16	7582	21	7582
16	69147	27	69147
17	64170	22	64170
15	38592	28	38592
14	4640	17	4640
17	19256	14	19256
16	64646	27	64646
